com.simibubi.create.content.decoration.encasing.EncasingRegistry	com.zurrtum.create.content.decoration.encasing.EncasingRegistry	main
com.simibubi.create.content.decoration.slidingDoor.DoorControlBehaviour	com.zurrtum.create.content.decoration.slidingDoor.DoorControlBehaviour	main
com.simibubi.create.content.decoration.slidingDoor.SlidingDoorMovementBehaviour	com.zurrtum.create.content.decoration.slidingDoor.SlidingDoorMovementBehaviour	main
com.simibubi.create.content.decoration.steamWhistle.WhistleBlock	com.zurrtum.create.content.decoration.steamWhistle.WhistleBlock	main
com.simibubi.create.content.decoration.steamWhistle.WhistleBlockEntity	com.zurrtum.create.content.decoration.steamWhistle.WhistleBlockEntity	main
com.simibubi.create.content.equipment.clipboard.ClipboardContent	com.zurrtum.create.infrastructure.component.ClipboardContent	main
com.simibubi.create.content.equipment.clipboard.ClipboardEntry	com.zurrtum.create.infrastructure.component.ClipboardEntry	main
com.simibubi.create.content.equipment.symmetryWand.SymmetryWandItem	com.zurrtum.create.content.equipment.symmetryWand.SymmetryWandItem	main
com.simibubi.create.content.equipment.wrench.IWrenchable	com.zurrtum.create.content.equipment.wrench.IWrenchable	main
com.simibubi.create.content.fluids.tank.CreativeFluidTankBlockEntity	com.zurrtum.create.content.fluids.tank.CreativeFluidTankBlockEntity	main
com.simibubi.create.content.fluids.tank.FluidTankBlockEntity	com.zurrtum.create.content.fluids.tank.FluidTankBlockEntity	main
com.simibubi.create.content.fluids.tank.FluidTankMovementBehavior	com.zurrtum.create.content.fluids.tank.FluidTankMovementBehavior	main
com.simibubi.create.content.fluids.tank.SoundPool	com.zurrtum.create.content.fluids.tank.SoundPool	main
com.simibubi.create.content.fluids.transfer.GenericItemEmptying	com.zurrtum.create.content.fluids.transfer.GenericItemEmptying	main
com.simibubi.create.content.fluids.transfer.GenericItemFilling	com.zurrtum.create.content.fluids.transfer.GenericItemFilling	main
com.simibubi.create.content.kinetics.KineticNetwork	com.zurrtum.create.content.kinetics.KineticNetwork	main
com.simibubi.create.content.kinetics.RotationPropagator	com.zurrtum.create.content.kinetics.RotationPropagator	main
com.simibubi.create.content.kinetics.base.AbstractEncasedShaftBlock	com.zurrtum.create.content.kinetics.base.AbstractEncasedShaftBlock	main
com.simibubi.create.content.kinetics.base.DirectionalKineticBlock	com.zurrtum.create.content.kinetics.base.DirectionalKineticBlock	main
com.simibubi.create.content.kinetics.base.GeneratingKineticBlockEntity	com.zurrtum.create.content.kinetics.base.GeneratingKineticBlockEntity	main
com.simibubi.create.content.kinetics.base.HorizontalKineticBlock	com.zurrtum.create.content.kinetics.base.HorizontalKineticBlock	main
com.simibubi.create.content.kinetics.base.IRotate	com.zurrtum.create.content.kinetics.base.IRotate	main
com.simibubi.create.content.kinetics.base.KineticBlock	com.zurrtum.create.content.kinetics.base.KineticBlock	main
com.simibubi.create.content.kinetics.base.KineticBlockEntity	com.zurrtum.create.content.kinetics.base.KineticBlockEntity	main
com.simibubi.create.content.kinetics.base.KineticBlockEntityRenderer	com.zurrtum.create.client.content.kinetics.base.KineticBlockEntityRenderer	client
com.simibubi.create.content.kinetics.base.KineticBlockEntityVisual	com.zurrtum.create.client.content.kinetics.base.KineticBlockEntityVisual	client
com.simibubi.create.content.kinetics.base.RotatedPillarKineticBlock	com.zurrtum.create.content.kinetics.base.RotatedPillarKineticBlock	main
com.simibubi.create.content.kinetics.base.RotatedPillarKineticBlock.AXIS	com.zurrtum.create.content.kinetics.base.RotatedPillarKineticBlock.AXIS	main
com.simibubi.create.content.kinetics.base.RotatingInstance	com.zurrtum.create.client.content.kinetics.base.RotatingInstance	client
com.simibubi.create.content.kinetics.base.SingleAxisRotatingVisual	com.zurrtum.create.client.content.kinetics.base.SingleAxisRotatingVisual	client
com.simibubi.create.content.kinetics.belt.BeltBlock	com.zurrtum.create.content.kinetics.belt.BeltBlock	main
com.simibubi.create.content.kinetics.belt.BeltPart	com.zurrtum.create.content.kinetics.belt.BeltPart	main
com.simibubi.create.content.kinetics.chainDrive.ChainDriveBlock	com.zurrtum.create.content.kinetics.chainDrive.ChainDriveBlock	main
com.simibubi.create.content.kinetics.crank.HandCrankBlock	com.zurrtum.create.content.kinetics.crank.HandCrankBlock	main
com.simibubi.create.content.kinetics.crank.HandCrankBlockEntity	com.zurrtum.create.content.kinetics.crank.HandCrankBlockEntity	main
com.simibubi.create.content.kinetics.crank.HandCrankRenderer	com.zurrtum.create.client.content.kinetics.crank.HandCrankRenderer	client
com.simibubi.create.content.kinetics.deployer.DeployerBlockEntity	com.zurrtum.create.content.kinetics.deployer.DeployerBlockEntity	main
com.simibubi.create.content.kinetics.deployer.DeployerHandler	com.zurrtum.create.content.kinetics.deployer.DeployerHandler	main
com.simibubi.create.content.kinetics.deployer.ManualApplicationRecipe	com.zurrtum.create.content.kinetics.deployer.ManualApplicationRecipe	main
com.simibubi.create.content.kinetics.mechanicalArm.AllArmInteractionPointTypes	com.zurrtum.create.content.kinetics.mechanicalArm.AllArmInteractionPointTypes	main
